

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
133.524  000.107  000.107: require('cmp.view.ghost_text_view')
133.532  000.921  000.153: require('cmp.view')
133.774  004.061  000.493: require('cmp.core')
133.942  000.115  000.115: require('cmp.config.sources')
134.051  000.104  000.104: require('cmp.config.window')
134.097  004.605  000.326: require('cmp')
134.355  000.143  000.143: require('luasnip.util.jsonc')
134.363  000.263  000.119: require('luasnip/loaders/from_vscode')
135.896  018.802  005.724: require('cmp')
135.903  019.078  000.152: require('nvim-autopairs.completion.cmp')
137.851  000.099  000.099: require('mason-core.path')
138.100  000.139  000.139: require('mason-core.functional')
138.338  000.092  000.092: require('mason-core.functional.data')
138.346  000.221  000.130: require('mason-core.functional.function')
138.474  000.094  000.094: require('mason-core.functional.relation')
138.582  000.100  000.100: require('mason-core.functional.logic')
138.592  000.735  000.180: require('mason-core.platform')
138.693  000.099  000.099: require('mason.settings')
138.698  002.599  001.667: require('mason')
138.951  000.102  000.102: require('mason-core.functional.list')
139.051  000.094  000.094: require('mason-core.functional.string')
139.086  000.351  000.155: require('mason.api.command')
139.214  000.121  000.121: require('mason-registry.sources')
143.540  000.797  000.797: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/nvim-lspconfig/plugin/lspconfig.lua
145.688  002.091  002.091: require('neoconf')
147.760  000.090  000.090: require('vim.health')
147.767  002.073  001.982: require('neoconf.health')
147.969  000.093  000.093: require('neoconf.config')
147.976  000.206  000.114: require('neoconf.util')
148.095  000.104  000.104: require('neoconf.import')
148.292  000.091  000.091: require('neoconf.settings')
148.297  000.193  000.103: require('neoconf.commands')
148.653  000.136  000.136: require('neoconf.plugins')
148.755  000.096  000.096: require('neoconf.plugins.lspconfig')
148.923  000.161  000.161: require('lspconfig.util')
149.137  000.098  000.098: require('neoconf.schema')
149.142  000.212  000.114: require('neoconf.plugins.jsonls')
149.235  000.089  000.089: require('neoconf.plugins.lua_ls')
149.422  000.088  000.088: require('cmp_nvim_lsp.source')
149.427  000.186  000.098: require('cmp_nvim_lsp')
149.739  000.105  000.105: require('lspconfig.async')
149.745  000.205  000.100: require('lspconfig.configs')
149.748  000.319  000.114: require('lspconfig')
149.928  000.113  000.113: require('lspconfig.server_configurations.lua_ls')
150.540  000.121  000.121: require('lspconfig.manager')
150.653  000.105  000.105: require('lspconfig.server_configurations.tsserver')
151.156  000.136  000.136: require('lspconfig.server_configurations.jsonls')
159.381  000.114  000.114: require('lspconfig.server_configurations.cssls')
167.808  000.123  000.123: require('lspconfig.server_configurations.bashls')
178.267  000.093  000.093: require('tsc.better-messages')
178.274  000.204  000.111: require('tsc.utils')
179.024  003.101  002.897: require('tsc')
179.299  000.036  000.036: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/which-key.nvim/plugin/which-key.vim
181.691  000.092  000.092: require('which-key.util')
181.698  000.190  000.099: require('which-key.tree')
181.805  000.104  000.104: require('which-key.config')
181.842  000.446  000.152: require('which-key.keys')
181.846  002.488  002.042: require('which-key')
182.297  000.117  000.117: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/editorconfig.lua
182.709  000.264  000.264: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/gzip.vim
182.881  000.025  000.025: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/health.vim
183.135  000.117  000.117: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/man.lua
184.415  000.329  000.329: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\pack\dist\opt\matchit\plugin\matchit.vim
184.639  001.353  001.024: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/matchit.vim
184.952  000.166  000.166: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/matchparen.vim
185.126  000.024  000.024: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/netrwPlugin.vim
185.365  000.100  000.100: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/plugin/nvim.lua
